,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
109,Just One of the Guys,Jenny Lewis,2014-05-30,29,0.325,0.00119,0.325,0.664,0.0,0.187,-4.45,0.0344,135.883,4,0.367
110,Be Good (RAC Remix),Tokyo Police Club,2007-10-30,34,0.592,0.00457,0.592,0.934,0.0283,0.07,-2.808,0.0509,105.517,4,0.615
111,Be Good,Tokyo Police Club,2006,0,0.478,0.000488,0.478,0.968,0.673,0.402,-3.763,0.0457,108.673,4,0.674
112,Your English Is Good,Tokyo Police Club,2008,0,0.608,0.00104,0.608,0.839,0.000728,0.124,-4.113,0.0484,121.22,4,0.722
113,Toy Guns,Tokyo Police Club,2014-03-24,0,0.529,0.00196,0.529,0.908,1.49e-06,0.124,-3.914,0.0349,150.992,4,0.681
114,Ya Hey,Vampire Weekend,2013-05-27,2,0.584,0.179,0.584,0.65,0.000283,0.0935,-6.481,0.0427,92.01,4,0.491
115,Jessica (feat. Ezra Koenig),Major Lazer,2013-03-15,0,0.635,0.178,0.635,0.495,0.576,0.118,-5.58,0.0433,84.033,4,0.306
116,Here Comes The Night Time,Arcade Fire,2013-01-01,0,0.446,0.0369,0.446,0.644,0.446,0.366,-7.849,0.0508,95.006,4,0.646
117,Flashbulb Eyes,Arcade Fire,2013-01-01,0,0.462,0.00212,0.462,0.921,0.241,0.701,-6.477,0.0691,171.434,4,0.81
118,Awful Sound (Oh Eurydice),Arcade Fire,2013-01-01,0,0.319,0.278,0.319,0.711,0.0994,0.0464,-7.819,0.0403,105.821,3,0.53
119,Work This Body,WALK THE MOON,2014-12-02,59,0.421,0.0283,0.421,0.831,0.0,0.464,-5.128,0.106,134.184,4,0.488
120,"10,000 Emerald Pools",BØRNS,2014-11-10,27,0.577,0.005,0.577,0.587,0.000348,0.0948,-5.361,0.0403,139.922,4,0.551
121,Riptide,MisterWives,2014-09-15,53,0.481,0.405,0.481,0.677,0.0,0.0647,-6.862,0.19,92.283,4,0.362
122,Good As New,Vacationer,2012-03-20,0,0.515,0.1,0.515,0.79,0.000266,0.192,-4.64,0.0665,94.992,4,0.641
123,Electric Love,BØRNS,2014-11-10,38,0.621,0.00448,0.621,0.853,0.0012,0.236,-6.537,0.0615,120.017,4,0.65
124,Beware the Dog,The Griswolds,2014-08-25,0,0.716,0.15,0.716,0.91,0.0,0.0796,-3.492,0.12,129.962,4,0.686
125,On the Road,Houndmouth,2013-06-04,1,0.394,0.165,0.394,0.59,2.77e-06,0.0742,-7.154,0.0559,176.981,4,0.689
126,The Breeze,Dr. Dog,2008-01-01,28,0.609,0.77,0.609,0.554,3.36e-05,0.672,-7.801,0.0395,90.098,4,0.28
127,The Way We Move,Langhorne Slim,2012-06-05,58,0.539,0.217,0.539,0.836,0.000168,0.303,-5.365,0.0654,135.596,4,0.759
128,Lose It (In The End),Mark Ronson,2010-09-21,33,0.659,0.0267,0.659,0.932,1.02e-06,0.069,-2.28,0.109,113.84,4,0.819
129,Off The Record,My Morning Jacket,2005-10-04,0,0.352,0.115,0.352,0.654,0.000213,0.31,-5.868,0.0315,139.335,4,0.509
130,Me and My Arrow,Harry Nilsson,1967,0,0.794,0.664,0.794,0.494,0.00265,0.212,-14.434,0.0337,91.566,4,0.962
131,King Of The Beach,Wavves,2010-11-15,0,0.367,0.000428,0.367,0.973,1.51e-05,0.37,-2.191,0.0985,170.043,4,0.617
132,Cameras,Matt and Kim,2010,0,0.549,0.0837,0.549,0.881,0.0,0.162,-4.894,0.0522,169.954,4,0.642
133,Life On Mars?,Seu Jorge,2005-01-01,47,0.655,0.899,0.655,0.146,0.0011,0.119,-16.69,0.0503,124.104,4,0.279
134,Feel,Bombay Bicycle Club,2014-02-04,0,0.641,0.015,0.641,0.928,0.0661,0.578,-4.372,0.0374,110.011,4,0.789
135,Luna,Bombay Bicycle Club,2014-02-04,0,0.582,0.0275,0.582,0.916,0.000331,0.149,-5.393,0.0478,121.988,4,0.386
136,It's Alright Now,Bombay Bicycle Club,2014-02-04,0,0.53,0.118,0.53,0.794,2.36e-06,0.151,-4.792,0.0353,124.997,3,0.618
137,Maps,The Front Bottoms,2011-09-06,35,0.64,0.00484,0.64,0.825,0.0,0.216,-4.336,0.0311,138.112,4,0.622
138,Looking Like You Just Woke Up,The Front Bottoms,2011-09-06,28,0.441,0.00921,0.441,0.95,2.44e-06,0.0813,-3.652,0.0803,178.104,4,0.743
139,Backstreet Lovers,The Crookes,2010-09-20,25,0.542,0.00972,0.542,0.613,0.0,0.0663,-10.723,0.078,184.973,4,0.875
140,Paris,Magic Man,2013-09-09,37,0.479,0.0269,0.479,0.868,0.0,0.0695,-5.367,0.0521,178.793,4,0.516
141,She Said,ALB,2014-10-13,19,0.641,0.0316,0.641,0.843,0.000687,0.0735,-2.649,0.041,94.942,4,0.879
142,Golden Chains,ALB,2014-10-13,34,0.691,0.0707,0.691,0.831,0.00585,0.0614,-4.0,0.0579,105.945,4,0.566
143,Ba Ba Baba Ba Ba Well Anyway,Oh No Ono,2005-02-18,0,0.485,0.000115,0.485,0.973,0.00127,0.335,-4.393,0.0561,97.566,4,0.65
144,Snowman,The Icicles,2004,0,0.48,0.0215,0.48,0.941,0.0,0.318,-2.433,0.0568,143.929,4,0.695
145,Class Of 2000,Amida,2007,0,0.35,0.145,0.35,0.782,0.00329,0.165,-8.445,0.0708,179.031,4,0.862
146,It Started In Naples,Amida,2007,0,0.534,0.342,0.534,0.891,0.000174,0.0355,-7.043,0.0558,96.193,4,0.96
147,High on Your Love,Kings Go Forth,2010-04-20,36,0.588,0.0142,0.588,0.701,4.83e-05,0.179,-3.208,0.0364,79.577,4,0.763
148,I Don't Believe You,The Thermals,2010-09-07,0,0.45,0.00114,0.45,0.97,0.000621,0.0819,-4.821,0.0568,162.792,4,0.83
149,Ocean's Deep,Born Ruffians,2013-04-16,0,0.641,0.000679,0.641,0.853,0.00628,0.0864,-5.669,0.0433,144.099,4,0.683
150,Cameras,Matt and Kim,2010,0,0.549,0.0837,0.549,0.881,0.0,0.162,-4.894,0.0522,169.954,4,0.642
151,Dear Prudence,Siouxsie and the Banshees,2002-01-01,0,0.44,0.013,0.44,0.798,0.000315,0.668,-8.948,0.0352,101.47,4,0.428
152,Weekend,Smith Westerns,2011-01-18,0,0.396,0.00106,0.396,0.864,0.0215,0.0726,-3.589,0.0309,153.883,4,0.817
153,Lonely One,Dresses,2014-12-15,0,0.864,0.568,0.864,0.53,0.000893,0.077,-8.478,0.0489,126.966,4,0.893
154,We the Common (For Valerie Bolden),Thao & The Get Down Stay Down,2013-01-29,0,0.665,0.319,0.665,0.562,0.000248,0.0716,-6.974,0.0482,90.053,4,0.601
155,Nobody Wants A Lonely Heart,Thao & The Get Down Stay Down,2014-11-18,0,0.453,0.0356,0.453,0.784,0.0441,0.308,-6.476,0.0328,141.623,4,0.702
156,"Beat (Health, Life & Fire)",Thao & The Get Down Stay Down,2014-10-01,0,0.456,0.284,0.456,0.861,0.273,0.926,-9.069,0.0353,134.744,4,0.762
157,Age Of Ice,Thao & The Get Down Stay Down,2014-10-01,0,0.437,0.0531,0.437,0.737,0.000611,0.702,-8.308,0.0726,121.629,3,0.526
158,City,Thao & The Get Down Stay Down,2013-02-04,0,0.598,0.0303,0.598,0.839,7.92e-05,0.17,-6.674,0.0408,104.789,4,0.394
159,We Don't Call,Thao & The Get Down Stay Down,2013-02-04,0,0.674,0.204,0.674,0.531,0.00718,0.106,-7.587,0.101,80.683,4,0.85
160,The Feeling Kind,Thao & The Get Down Stay Down,2013-02-04,0,0.653,0.399,0.653,0.584,0.0006,0.106,-6.714,0.0289,94.882,4,0.801
161,Holy Roller,Thao & The Get Down Stay Down,2013-02-04,0,0.73,0.0759,0.73,0.59,0.000106,0.088,-6.26,0.075,83.386,4,0.144
162,The Day Long,Thao & The Get Down Stay Down,2013-02-04,0,0.849,0.525,0.849,0.438,0.391,0.0853,-11.117,0.0423,114.135,4,0.786
163,Every Body,Thao & The Get Down Stay Down,2013-02-04,0,0.761,0.0355,0.761,0.625,0.252,0.153,-6.951,0.0317,132.66,4,0.932
164,Move,Thao & The Get Down Stay Down,2013-02-04,0,0.528,0.111,0.528,0.563,7.51e-05,0.347,-7.528,0.0342,69.332,4,0.297
165,Human Heart,Thao & The Get Down Stay Down,2013-02-04,0,0.423,0.171,0.423,0.506,3.37e-06,0.118,-4.555,0.0311,113.747,3,0.695
166,There Was An Old Lady Who Swallowed A Fly,Thao,2014-07-22,0,0.743,0.464,0.743,0.627,0.0,0.239,-8.802,0.054,137.948,4,0.776
167,Excuses,The Morning Benders,2010,2,0.438,0.365,0.438,0.806,0.0551,0.237,-5.717,0.0395,96.156,3,0.489
168,Despite What You've Been Told,Two Gallants,2007-09-25,40,0.553,0.00141,0.553,0.821,0.0,0.077,-4.961,0.0314,151.32,4,0.622
169,Like a River Runs,Bleachers,2014-06-23,24,0.56,0.0139,0.56,0.866,0.0813,0.0974,-7.327,0.0755,119.986,4,0.336
170,Crushing Limbs,Anni Rossi,2010-09-07,6,0.931,0.554,0.931,0.593,0.0237,0.0988,-8.973,0.0381,116.98,4,0.878
171,Heart And Soul,Twin Atlantic,2014-05-25,0,0.398,0.000534,0.398,0.809,0.0,0.0931,-4.179,0.068,177.909,4,0.627
